epoch,avg_l1,avg_vgg,lr,epoch_time_s,best_l1
32,0.147965,0.997397,0.7453,15.74,2.00e-04,34.7,0.147890
33,0.148250,1.002090,0.7473,15.66,2.00e-04,34.7,0.147890
34,0.148437,0.999223,0.7351,15.79,2.00e-04,35.4,0.147890
35,0.147931,0.997483,0.7497,15.55,2.00e-04,34.7,0.147890
36,0.148158,1.001468,0.7503,15.92,2.00e-04,34.5,0.147890
37,0.148114,0.999245,0.7370,15.13,2.00e-04,34.5,0.147890
38,0.148063,0.996564,0.7494,16.26,2.00e-04,34.7,0.147890
39,0.148419,0.999625,0.7532,16.76,2.00e-04,34.4,0.147890
40,0.148063,0.995844,0.7197,14.60,2.00e-04,35.4,0.147890
41,0.147826,0.993142,0.7497,16.03,2.00e-04,35.1,0.147890
42,0.148259,0.999180,0.7474,16.29,2.00e-04,35.2,0.147890
43,0.148178,0.993225,0.7399,15.11,2.00e-04,35.4,0.147890
44,0.148253,0.999011,0.7406,15.31,2.00e-04,34.5,0.147890
45,0.148142,1.000086,0.7324,14.95,2.00e-04,35.1,0.147890
46,0.148778,1.001542,0.7350,15.14,2.00e-04,35.1,0.147890
47,0.148502,1.003238,0.7244,15.05,2.00e-04,35.0,0.147890
48,0.147612,0.990313,0.7461,15.75,2.00e-04,34.6,0.147612
49,0.148304,0.997242,0.7316,15.19,2.00e-04,34.7,0.147612
50,0.147860,0.988306,0.7333,15.18,2.00e-04,34.7,0.147612
51,0.147830,0.986465,0.7328,15.11,1.96e-04,34.6,0.147612
52,0.148042,0.991413,0.7446,15.17,1.92e-04,35.1,0.147612
53,0.148232,0.990365,0.7383,15.43,1.88e-04,34.5,0.147612
54,0.148355,0.993924,0.7437,15.57,1.84e-04,35.6,0.147612
55,0.147874,0.989762,0.7404,15.75,1.80e-04,36.6,0.147612
56,0.147484,0.988868,0.7424,15.53,1.76e-04,35.7,0.147484
